FullName,CustomerCategoryId
Eamon Lathleiff,2
Perla Ruter,3
Mallorie Sturt,1
Laurette Colbourne,2
Biddie Dinneen,5
Jereme Sagerson,2
Ricard Bartolomeo,5
Cornelle Millthorpe,5
Kira Crassweller,1
Chelsey Alforde,2
Joscelin Hounsom,3
Patricio Burley,1
Haskell Lamberteschi,5
Walsh Danbrook,4
Roberto Casper,4
Brina McGifford,4
Justinian Critchley,3
Carlita Faier,2
Laughton Felstead,3
Patrick Deinert,2
Marcy Cassar,4
Riva Crow,1
Orran Bog,3
Jolyn Turban,2
Arlinda Cordle,4
Meredeth Slobom,2
Emeline Baelde,5
Ky Tune,3
Mella Biner,2
Mahalia Fidelus,1
Gale Briatt,5
Moss Dunthorne,2
Roana Lyle,1
Janella Punch,4
Kristoffer Rousel,1
Martynne Ransom,3
Meris McPartling,4
Camilla Sandilands,5
Ettie Sollime,5
April Kliesl,5
Jane Preble,5
Sosanna Bakewell,3
Yanaton Lippiatt,3
Shayla Trulocke,3
Clement Farrear,1
Josias Cohen,1
Faun Plowes,5
Gwendolen Beaushaw,3
Nananne Loosley,4
Allyce Dreye,5
Demetris Ladloe,2
Danica Upstone,1
Don Cronkshaw,5
Maure Druhan,1
Hobey Chenery,5
Eda Garland,2
Corie Noddle,2
Jaine MacCrann,1
Bunnie Wimbridge,2
Bobbette Vernalls,4
Morly Casewell,5
Janette Esche,2
Filmer Guillford,5
Diana Dallicoat,2
Cobby Manhood,4
Haze Scowcraft,4
Nobie Fowls,5
Lenee Skoate,3
Bridgette Lorente,2
Gwenneth Petr,2
Teri MacKeeg,5
Rayner Skotcher,4
Linell Himsworth,4
Melva Dayley,4
Saxon McEneny,3
Cornelius McGennis,4
Umberto Hairsine,5
Cyril Burling,2
Trefor Alger,5
Marget Barrett,4
Carmine Thorington,4
Kipp de Pinna,5
Irena De Maine,2
Regan MacGillespie,2
Shane Stuckley,3
Terese Luffman,2
Brennen Mil,4
Godfree Heighway,2
Gabriell Beattie,3
